tick,mt,event_type,rho_event,psi_fired,mu_zero,forced_emission,ratio_triggered,triple_psi,dual_engine,koppa_sample_index
1,1,E,0,0,0,0,0,0,0,-1
1,2,M,0,0,0,0,0,0,0,-1
1,3,R,0,0,0,0,0,0,0,-1
1,4,E,0,0,0,0,0,0,0,-1
1,5,M,0,0,0,0,0,0,0,-1
1,6,R,0,0,0,0,0,0,0,-1
1,7,E,0,0,0,0,0,0,0,-1
1,8,M,0,0,0,0,0,0,0,-1
1,9,R,0,0,0,0,0,0,0,-1
1,10,E,0,1,0,1,0,0,0,-1
1,11,M,0,0,0,0,0,0,0,-1
2,1,E,0,0,0,0,0,0,0,-1
2,2,M,0,0,0,0,0,0,0,-1
2,3,R,0,0,0,0,0,0,0,-1
2,4,E,0,0,0,0,0,0,0,-1
2,5,M,0,0,0,0,0,0,0,-1
2,6,R,0,0,0,0,0,0,0,-1
2,7,E,1,0,0,0,0,0,0,-1
2,8,M,0,1,0,0,0,0,0,-1
2,9,R,0,0,0,0,0,0,0,-1
2,10,E,0,1,0,1,0,0,0,-1
2,11,M,0,0,0,0,0,0,0,-1
3,1,E,1,0,0,0,0,0,0,-1
3,2,M,0,1,0,0,0,0,0,-1
3,3,R,0,0,0,0,0,0,0,-1
3,4,E,1,0,0,0,0,0,0,-1
3,5,M,0,1,0,0,0,0,0,-1
3,6,R,0,0,0,0,0,0,0,-1
3,7,E,0,0,0,0,0,0,0,-1
3,8,M,0,0,0,0,0,0,0,-1
3,9,R,0,0,0,0,0,0,0,-1
3,10,E,0,1,0,1,0,0,0,-1
3,11,M,0,0,0,0,0,0,0,-1
4,1,E,0,0,0,0,0,0,0,-1
4,2,M,0,0,0,0,0,0,0,-1
4,3,R,0,0,0,0,0,0,0,-1
4,4,E,0,0,0,0,0,0,0,-1
4,5,M,0,0,0,0,0,0,0,-1
4,6,R,0,0,0,0,0,0,0,-1
4,7,E,1,0,0,0,0,0,0,-1
4,8,M,0,1,0,0,0,0,0,-1
4,9,R,0,0,0,0,0,0,0,-1
4,10,E,0,1,0,1,0,0,0,-1
4,11,M,0,0,0,0,0,0,0,-1
5,1,E,0,0,0,0,0,0,0,-1
5,2,M,0,0,0,0,0,0,0,-1
5,3,R,0,0,0,0,0,0,0,-1
5,4,E,0,0,0,0,0,0,0,-1
5,5,M,0,0,0,0,0,0,0,-1
5,6,R,0,0,0,0,0,0,0,-1
5,7,E,0,0,0,0,0,0,0,-1
5,8,M,0,0,0,0,0,0,0,-1
5,9,R,0,0,0,0,0,0,0,-1
5,10,E,0,1,0,1,0,0,0,-1
5,11,M,0,0,0,0,0,0,0,-1
