tick,mt,upsilon_num,upsilon_den,beta_num,beta_den,koppa_num,koppa_den,koppa_sample_num,koppa_sample_den,prev_upsilon_num,prev_upsilon_den,prev_beta_num,prev_beta_den,koppa_stack0_num,koppa_stack0_den,koppa_stack1_num,koppa_stack1_den,koppa_stack2_num,koppa_stack2_den,koppa_stack3_num,koppa_stack3_den,koppa_stack_size
1,1,81,35,5,7,1,1,1,1,3,5,5,7,0,1,0,1,0,1,0,1,0
1,2,81,35,5,7,1,1,1,1,3,5,5,7,0,1,0,1,0,1,0,1,0
1,3,81,35,5,7,1,1,1,1,3,5,5,7,0,1,0,1,0,1,0,1,0
1,4,141,35,5,7,1,1,1,1,81,35,5,7,0,1,0,1,0,1,0,1,0
1,5,141,35,5,7,1,1,1,1,81,35,5,7,0,1,0,1,0,1,0,1,0
1,6,141,35,5,7,1,1,1,1,81,35,5,7,0,1,0,1,0,1,0,1,0
1,7,201,35,5,7,1,1,1,1,141,35,5,7,0,1,0,1,0,1,0,1,0
1,8,201,35,5,7,1,1,1,1,141,35,5,7,0,1,0,1,0,1,0,1,0
1,9,201,35,5,7,1,1,1,1,141,35,5,7,0,1,0,1,0,1,0,1,0
1,10,7,261,7,1,1,1,1,1,201,35,5,7,0,1,0,1,0,1,0,1,0
1,11,7,261,7,1,1,1,1,1,201,35,5,7,0,1,0,1,0,1,0,1,0
2,1,2095,261,7,1,1,1,1,1,7,261,7,1,0,1,0,1,0,1,0,1,0
2,2,2095,261,7,1,1,1,1,1,7,261,7,1,0,1,0,1,0,1,0,1,0
2,3,2095,261,7,1,1,1,1,1,7,261,7,1,0,1,0,1,0,1,0,1,0
2,4,4183,261,7,1,1,1,1,1,2095,261,7,1,0,1,0,1,0,1,0,1,0
2,5,4183,261,7,1,1,1,1,1,2095,261,7,1,0,1,0,1,0,1,0,1,0
2,6,4183,261,7,1,1,1,1,1,2095,261,7,1,0,1,0,1,0,1,0,1,0
2,7,6271,261,7,1,1,1,1,1,4183,261,7,1,0,1,0,1,0,1,0,1,0
2,8,1,6271,261,7,1636738,43897,1636738,43897,4183,261,7,1,0,1,0,1,0,1,0,1,0
2,9,1,6271,261,7,1636738,43897,1636738,43897,4183,261,7,1,0,1,0,1,0,1,0,1,0
2,10,7,3273476,43897,261,1636738,43897,1636738,43897,1,6271,261,7,0,1,0,1,0,1,0,1,0
2,11,7,3273476,43897,261,1636738,43897,1636738,43897,1,6271,261,7,0,1,0,1,0,1,0,1,0
3,1,7706205246538871,37504597528692,43897,261,1636738,43897,1636738,43897,7,3273476,43897,261,0,1,0,1,0,1,0,1,0
3,2,261,7706205246538871,854377236,1,6584006338586579171540817,7706205246538871,6584006338586579171540817,7706205246538871,7,3273476,43897,261,0,1,0,1,0,1,0,1,0
3,3,261,7706205246538871,854377236,1,6584006338586579171540817,7706205246538871,6584006338586579171540817,7706205246538871,7,3273476,43897,261,0,1,0,1,0,1,0,1,0
3,4,13168012677173158343081634,7706205246538871,854377236,1,6584006338586579171540817,7706205246538871,6584006338586579171540817,7706205246538871,261,7706205246538871,854377236,1,0,1,0,1,0,1,0,1,0
3,5,1,13168012677173158343081634,7706205246538871,854377236,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,261,7706205246538871,854377236,1,0,1,0,1,0,1,0,1,0
3,6,1,13168012677173158343081634,7706205246538871,854377236,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,261,7706205246538871,854377236,1,0,1,0,1,0,1,0,1,0
3,7,194397334060004133013803319437830577725,10776293366605520420069373734946,7706205246538871,854377236,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,1,13168012677173158343081634,7706205246538871,854377236,0,1,0,1,0,1,0,1,0
3,8,194397334060004133013803319437830577725,10776293366605520420069373734946,7706205246538871,854377236,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,1,13168012677173158343081634,7706205246538871,854377236,0,1,0,1,0,1,0,1,0
3,9,194397334060004133013803319437830577725,10776293366605520420069373734946,7706205246538871,854377236,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,1,13168012677173158343081634,7706205246538871,854377236,0,1,0,1,0,1,0,1,0
3,10,854377236,388794668120008266027606638875660337081,10776293366605520420069373734946,7706205246538871,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,10776293366605520420069373734946,7706205246538871,854377236,0,1,0,1,0,1,0,1,0
3,11,854377236,388794668120008266027606638875660337081,10776293366605520420069373734946,7706205246538871,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,21552586733211040840138747469892,194397334060004133013803319437830577725,10776293366605520420069373734946,7706205246538871,854377236,0,1,0,1,0,1,0,1,0
